name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
MALAM,SUB-TEHSIL,DERA BUGTI,RURAL,"2,000 -- 4,999",6,19142,11100,8042,,Rural Localities
MALAM,SUB-TEHSIL,DERA BUGTI,RURAL,"1,000 -- 1,999",4,6162,3353,2809,,Rural Localities
MALAM,SUB-TEHSIL,DERA BUGTI,RURAL,500 -- 999,3,1958,1091,867,,Rural Localities
MALAM,SUB-TEHSIL,DERA BUGTI,RURAL,200 -- 499,2,553,287,266,,Rural Localities
MALAM,SUB-TEHSIL,DERA BUGTI,RURAL,LESS THAN 200,1,179,112,67,,Rural Localities
MALAM,SUB-TEHSIL,DERA BUGTI,RURAL,UN-INHABITED,,,,,,Rural Localities
PIR KOH,SUB-TEHSIL,DERA BUGTI,RURAL,OVERALL,46,44396,23865,20530,1,Rural Localities
PIR KOH,SUB-TEHSIL,DERA BUGTI,RURAL,"5,000 AND ABOVE",1,15944,8455,7489,,Rural Localities
PIR KOH,SUB-TEHSIL,DERA BUGTI,RURAL,"2,000 -- 4,999",2,4842,2687,2154,1,Rural Localities
PIR KOH,SUB-TEHSIL,DERA BUGTI,RURAL,"1,000 -- 1,999",7,8720,4699,4021,,Rural Localities
PIR KOH,SUB-TEHSIL,DERA BUGTI,RURAL,500 -- 999,11,8472,4497,3975,,Rural Localities
PIR KOH,SUB-TEHSIL,DERA BUGTI,RURAL,200 -- 499,17,5436,2948,2488,,Rural Localities
PIR KOH,SUB-TEHSIL,DERA BUGTI,RURAL,LESS THAN 200,8,982,579,403,,Rural Localities
PIR KOH,SUB-TEHSIL,DERA BUGTI,RURAL,UN-INHABITED,,,,,,Rural Localities
QADIRABAD,SUB-DIVISION,DERA BUGTI,RURAL,OVERALL,13,32226,18391,13835,,Rural Localities
QADIRABAD,SUB-DIVISION,DERA BUGTI,RURAL,"5,000 AND ABOVE",2,10998,6461,4537,,Rural Localities
QADIRABAD,SUB-DIVISION,DERA BUGTI,RURAL,"2,000 -- 4,999",4,12747,7265,5482,,Rural Localities
QADIRABAD,SUB-DIVISION,DERA BUGTI,RURAL,"1,000 -- 1,999",5,7697,4276,3421,,Rural Localities
QADIRABAD,SUB-DIVISION,DERA BUGTI,RURAL,500 -- 999,1,510,244,266,,Rural Localities
QADIRABAD,SUB-DIVISION,DERA BUGTI,RURAL,200 -- 499,1,274,145,129,,Rural Localities
QADIRABAD,SUB-DIVISION,DERA BUGTI,RURAL,LESS THAN 200,,,,,,Rural Localities
